Sample_ID,Plant_Material,UV_Visible,SEM,TEM,EDAX,XRD,Particle_Size,Antifungal_Activity,Antibacterial_Activity,Antioxidant_Activity,Anti_Inflammatory_Activity
22,Smilax Zeylanica leaves,476.7,76.41,7.07,50.2,39.51,35.75,0,1,1,0
23,Smilax Zeylanica leaves,558.71,27.45,8.47,75.97,26.22,2.73,1,0,1,0
24,Smilax Zeylanica leaves,522.94,54.62,5.79,76.21,56.84,84.27,1,1,1,1
25,Smilax Zeylanica leaves,466.69,80.16,8.5,82.84,58.96,29.67,0,1,1,1
26,Smilax Zeylanica leaves,386.41,12.02,8.66,44.74,30.5,32.16,0,0,0,0
27,Smilax Zeylanica leaves,302.08,73.27,3.92,9.2,68.36,36.52,0,1,0,1
28,Smilax Zeylanica leaves,664.23,94.54,5.67,11.66,65.73,81.18,1,1,0,1
29,Smilax Zeylanica leaves,752.11,59.69,5.7,0.99,69.66,52.75,1,1,0,1
30,Smilax Zeylanica leaves,245.68,96.27,2.75,40.49,44.49,16.0,0,1,0,0
31,Smilax Zeylanica leaves,727.79,28.39,9.37,80.93,44.83,83.01,1,0,1,0
32,Smilax Zeylanica leaves,772.81,93.17,1.89,32.62,50.38,80.1,1,1,0,1
33,Smilax Zeylanica leaves,486.87,79.43,8.56,40.71,27.02,33.79,0,1,0,0
34,Smilax Zeylanica leaves,500.79,87.2,9.56,3.15,73.51,2.99,1,1,0,1
35,Smilax Zeylanica leaves,584.34,16.82,7.48,38.47,32.67,77.21,1,0,0,0
36,Smilax Zeylanica leaves,364.88,17.26,5.13,22.5,76.3,15.55,0,0,0,1
37,Smilax Zeylanica leaves,437.96,59.02,4.77,82.62,71.27,13.79,0,1,1,1
38,Smilax Zeylanica leaves,551.96,26.14,5.08,71.4,69.82,9.63,1,0,1,1
39,Smilax Zeylanica leaves,691.28,25.34,1.02,99.89,66.56,7.06,1,0,1,1
40,Smilax Zeylanica leaves,625.59,27.73,7.3,34.69,29.18,90.28,1,0,0,0
41,Smilax Zeylanica leaves,548.52,88.49,8.08,46.59,22.94,73.78,1,1,0,0
42,Smilax Zeylanica leaves,682.87,14.97,7.77,34.27,72.67,55.61,1,0,0,1
43,Smilax Zeylanica leaves,422.08,73.58,4.34,59.63,48.12,1.39,0,1,1,0
44,Smilax Zeylanica leaves,759.71,22.04,2.99,74.23,58.67,14.57,1,0,1,1
45,Smilax Zeylanica leaves,768.54,95.11,3.26,80.96,68.83,73.52,1,1,1,1
46,Smilax Zeylanica leaves,361.73,69.34,7.59,68.18,65.7,97.3,0,1,1,1
47,Smilax Zeylanica leaves,260.51,55.97,2.29,20.68,79.89,81.57,0,1,0,1
48,Smilax Zeylanica leaves,606.76,78.97,9.17,17.15,69.32,59.85,1,1,0,1
49,Smilax Zeylanica leaves,583.76,46.34,4.26,69.48,75.74,45.78,1,0,1,1
50,Smilax Zeylanica leaves,266.01,95.48,4.99,21.93,75.98,93.4,0,1,0,1
51,Smilax Zeylanica leaves,495.3,30.28,8.49,18.95,45.29,34.12,0,0,0,0
52,Smilax Zeylanica leaves,618.85,85.08,6.75,59.24,76.56,98.31,1,1,1,1
53,Smilax Zeylanica leaves,260.84,86.48,2.71,76.95,53.18,59.66,0,1,1,1
54,Smilax Zeylanica leaves,786.83,14.48,8.75,26.24,34.96,84.33,1,0,0,0
55,Smilax Zeylanica leaves,536.88,77.11,5.47,27.15,68.4,68.29,1,1,0,1
56,Smilax Zeylanica leaves,555.65,35.71,1.14,68.68,60.21,74.08,1,0,1,1
57,Smilax Zeylanica leaves,677.63,45.59,5.51,37.75,62.6,53.8,1,0,0,1
58,Smilax Zeylanica leaves,505.38,19.86,3.71,39.98,50.0,17.08,1,0,0,0
59,Smilax Zeylanica leaves,349.58,65.54,1.09,93.42,79.96,88.27,0,1,1,1
60,Smilax Zeylanica leaves,575.48,23.82,2.44,88.35,51.34,79.09,1,0,1,1
61,Smilax Zeylanica leaves,300.82,72.33,5.89,97.47,22.9,36.79,0,1,1,0
62,Smilax Zeylanica leaves,657.76,72.93,7.24,12.83,24.22,7.55,1,1,0,0
63,Smilax Zeylanica leaves,700.73,56.05,6.5,14.92,62.59,73.13,1,1,0,1
64,Smilax Zeylanica leaves,220.36,78.23,4.12,4.91,39.17,76.2,0,1,0,0
65,Smilax Zeylanica leaves,432.41,77.32,4.08,24.58,69.43,38.17,0,1,0,1
66,Smilax Zeylanica leaves,247.02,74.13,2.46,88.03,46.1,97.72,0,1,1,0
67,Smilax Zeylanica leaves,251.58,50.99,8.76,53.62,49.49,46.5,0,1,1,0
68,Smilax Zeylanica leaves,635.47,82.18,5.62,15.99,20.87,2.89,1,1,0,0
69,Smilax Zeylanica leaves,793.6,11.32,1.06,75.25,55.79,28.97,1,0,1,1
70,Smilax Zeylanica leaves,640.61,22.97,9.67,11.2,45.27,22.64,1,0,0,0
71,Smilax Zeylanica leaves,237.57,29.49,2.8,42.3,26.23,47.12,0,0,0,0
72,Smilax Zeylanica leaves,287.65,28.14,4.59,59.64,28.92,79.63,0,0,1,0
73,Smilax Zeylanica leaves,702.24,39.77,4.7,25.09,48.65,57.97,1,0,0,0
74,Smilax Zeylanica leaves,399.12,34.19,3.1,80.58,42.67,18.15,0,0,1,0
75,Smilax Zeylanica leaves,772.32,45.74,7.76,37.46,49.72,99.85,1,0,0,0
76,Smilax Zeylanica leaves,781.7,52.58,5.57,77.15,29.46,88.13,1,1,1,0
77,Smilax Zeylanica leaves,519.49,18.07,2.44,3.57,53.07,48.79,1,0,0,1
78,Smilax Zeylanica leaves,202.45,24.63,7.6,72.87,60.0,42.46,0,0,1,1
79,Smilax Zeylanica leaves,264.72,24.51,9.37,80.4,47.43,42.02,0,0,1,0
80,Smilax Zeylanica leaves,622.28,75.75,9.46,50.39,37.03,64.88,1,1,1,0
81,Smilax Zeylanica leaves,266.97,55.18,1.74,90.07,62.77,52.34,0,1,1,1
82,Smilax Zeylanica leaves,281.27,69.15,2.05,49.99,38.73,48.25,0,1,0,0
83,Smilax Zeylanica leaves,276.25,83.17,3.0,61.37,76.1,31.44,0,1,1,1
84,Smilax Zeylanica leaves,569.9,87.51,7.0,80.27,42.56,42.26,1,1,1,0
85,Smilax Zeylanica leaves,471.47,53.74,7.3,57.37,46.46,55.55,0,1,1,0
86,Smilax Zeylanica leaves,564.77,21.85,9.54,72.02,51.45,84.26,1,0,1,1
87,Smilax Zeylanica leaves,289.43,35.03,7.73,55.03,36.24,85.49,0,0,1,0
88,Smilax Zeylanica leaves,264.62,70.79,1.77,1.01,27.63,8.53,0,1,0,0
89,Smilax Zeylanica leaves,658.15,12.12,1.84,67.64,72.81,39.77,1,0,1,1
90,Smilax Zeylanica leaves,596.13,48.08,7.94,19.64,43.4,33.07,1,0,0,0
91,Smilax Zeylanica leaves,733.97,33.62,6.25,71.66,60.02,47.7,1,0,1,1
92,Smilax Zeylanica leaves,370.25,31.04,9.39,30.33,35.08,99.11,0,0,0,0
93,Smilax Zeylanica leaves,745.42,46.17,6.98,36.14,73.02,88.07,1,0,0,1
94,Smilax Zeylanica leaves,352.77,39.23,6.25,43.79,72.48,58.89,0,0,0,1
95,Smilax Zeylanica leaves,405.82,56.51,4.9,27.98,77.08,50.02,0,1,0,1
96,Smilax Zeylanica leaves,402.46,13.21,2.08,45.62,53.44,5.3,0,0,0,1
97,Smilax Zeylanica leaves,609.6,77.41,9.53,59.32,33.83,73.4,1,1,1,0
98,Smilax Zeylanica leaves,487.75,38.23,2.14,52.09,53.42,39.42,0,0,1,1
99,Smilax Zeylanica leaves,485.78,51.16,3.66,81.06,40.35,66.77,0,1,1,0
100,Smilax Zeylanica leaves,611.67,55.53,9.49,67.63,42.27,89.38,1,1,1,0
101,Smilax Zeylanica leaves,650.12,39.41,6.02,37.54,52.6,20.11,1,0,0,1
102,Smilax Zeylanica leaves,269.01,77.63,1.14,31.5,26.21,20.07,0,1,0,0
103,Smilax Zeylanica leaves,718.12,91.03,3.12,45.43,61.62,97.3,1,1,0,1
104,Smilax Zeylanica leaves,307.46,57.45,3.75,26.59,48.61,9.49,0,1,0,0
105,Smilax Zeylanica leaves,756.02,24.95,9.57,66.09,48.7,21.48,1,0,1,0
106,Smilax Zeylanica leaves,504.23,47.88,4.53,97.94,27.44,39.47,1,0,1,0
107,Smilax Zeylanica leaves,407.68,65.91,5.94,58.45,51.46,26.72,0,1,1,1
108,Smilax Zeylanica leaves,748.83,91.9,2.11,14.89,79.26,50.06,1,1,0,1
109,Smilax Zeylanica leaves,668.52,30.27,2.42,67.32,64.7,69.32,1,0,1,1
110,Smilax Zeylanica leaves,367.26,19.96,9.81,77.94,33.97,36.3,0,0,1,0
111,Smilax Zeylanica leaves,702.27,62.12,8.51,90.0,73.43,14.58,1,1,1,1
112,Smilax Zeylanica leaves,652.43,23.28,1.13,79.46,29.63,30.04,1,0,1,0
113,Smilax Zeylanica leaves,385.72,48.13,2.01,40.09,51.56,42.19,0,0,0,1
114,Smilax Zeylanica leaves,311.14,32.75,6.68,64.32,40.72,7.2,0,0,1,0
115,Smilax Zeylanica leaves,256.68,48.57,6.49,17.03,32.75,54.05,0,0,0,0
116,Smilax Zeylanica leaves,314.12,56.51,6.52,74.84,60.0,94.86,0,1,1,1
117,Smilax Zeylanica leaves,402.57,64.37,2.95,4.07,64.51,1.36,0,1,0,1
118,Smilax Zeylanica leaves,771.91,74.7,8.13,39.33,61.69,73.23,1,1,0,1
119,Smilax Zeylanica leaves,219.88,73.56,7.74,49.94,40.78,83.15,0,1,0,0
120,Smilax Zeylanica leaves,203.64,68.89,8.66,59.87,34.11,79.18,0,1,1,0
121,Smilax Zeylanica leaves,658.32,47.84,2.64,25.15,36.21,79.72,1,0,0,0
122,Smilax Zeylanica leaves,389.64,18.88,8.33,69.13,56.27,50.02,0,0,1,1
123,Smilax Zeylanica leaves,331.0,35.11,4.08,77.94,56.56,69.15,0,0,1,1
124,Smilax Zeylanica leaves,251.44,61.8,1.25,21.46,30.01,56.86,0,1,0,0
125,Smilax Zeylanica leaves,584.05,61.21,3.41,76.98,60.51,3.31,1,1,1,1
126,Smilax Zeylanica leaves,351.6,16.92,6.88,70.29,54.58,34.79,0,0,1,1
127,Smilax Zeylanica leaves,208.03,23.69,6.88,28.56,39.15,24.31,0,0,0,0
128,Smilax Zeylanica leaves,215.98,97.83,8.78,41.12,40.79,24.51,0,1,0,0
129,Smilax Zeylanica leaves,483.99,59.16,4.58,39.98,39.62,92.36,0,1,0,0
130,Smilax Zeylanica leaves,682.87,81.77,9.86,56.29,31.53,19.68,1,1,1,0
131,Smilax Zeylanica leaves,747.94,99.16,6.73,45.69,28.85,67.3,1,1,0,0
132,Smilax Zeylanica leaves,783.3,27.9,3.83,30.61,43.3,1.52,1,0,0,0
133,Smilax Zeylanica leaves,679.44,95.01,6.31,16.92,45.05,12.77,1,1,0,0
134,Smilax Zeylanica leaves,292.67,88.34,8.58,72.14,65.84,94.47,0,1,1,1
135,Smilax Zeylanica leaves,623.87,26.79,9.73,86.78,52.11,50.34,1,0,1,1
136,Smilax Zeylanica leaves,321.03,23.09,6.53,56.71,30.05,84.39,0,0,1,0
137,Smilax Zeylanica leaves,619.49,25.1,1.01,3.0,35.02,74.07,1,0,0,0
138,Smilax Zeylanica leaves,425.39,24.03,5.63,63.1,62.41,19.05,0,0,1,1
139,Smilax Zeylanica leaves,605.88,48.46,7.65,32.56,36.87,95.66,1,0,0,0
140,Smilax Zeylanica leaves,491.88,75.34,6.73,72.33,33.53,95.79,0,1,1,0
141,Smilax Zeylanica leaves,298.88,31.13,1.05,38.49,32.96,61.37,0,0,0,0
142,Smilax Zeylanica leaves,749.05,69.31,8.88,93.97,65.29,22.25,1,1,1,1
143,Smilax Zeylanica leaves,340.55,78.66,8.81,99.13,28.15,95.03,0,1,1,0
144,Smilax Zeylanica leaves,459.17,64.84,7.82,30.37,68.0,30.8,0,1,0,1
145,Smilax Zeylanica leaves,680.41,24.87,6.84,95.99,75.41,40.22,1,0,1,1
146,Smilax Zeylanica leaves,263.84,38.89,1.75,78.95,24.64,31.2,0,0,1,0
147,Smilax Zeylanica leaves,347.81,31.78,2.55,17.1,64.0,52.5,0,0,0,1
148,Smilax Zeylanica leaves,271.81,12.34,5.56,76.89,36.99,5.27,0,0,1,0
149,Smilax Zeylanica leaves,332.14,82.41,6.57,10.14,76.1,12.33,0,1,0,1
150,Smilax Zeylanica leaves,724.77,10.33,6.47,53.15,65.9,99.91,1,0,1,1
151,Smilax Zeylanica leaves,482.03,54.32,9.34,87.16,66.81,41.13,0,1,1,1
152,Smilax Zeylanica leaves,748.57,12.93,9.92,46.39,53.41,96.53,1,0,0,1
153,Smilax Zeylanica leaves,674.39,71.4,8.52,64.48,51.27,63.64,1,1,1,1
154,Smilax Zeylanica leaves,464.75,62.65,9.65,36.11,70.56,59.6,0,1,0,1
155,Smilax Zeylanica leaves,687.55,53.33,8.56,89.72,31.4,66.97,1,1,1,0
156,Smilax Zeylanica leaves,431.67,22.52,1.85,71.71,23.19,88.35,0,0,1,0
157,Smilax Zeylanica leaves,640.02,44.46,4.15,66.14,57.1,55.09,1,0,1,1
158,Smilax Zeylanica leaves,303.09,69.65,5.09,59.59,65.31,85.87,0,1,1,1
159,Smilax Zeylanica leaves,313.04,57.58,8.48,13.9,30.78,62.61,0,1,0,0
160,Smilax Zeylanica leaves,731.8,95.82,6.85,59.76,72.0,40.78,1,1,1,1
161,Smilax Zeylanica leaves,650.55,89.0,7.39,94.09,39.57,70.36,1,1,1,0
162,Smilax Zeylanica leaves,775.11,93.27,7.77,19.68,59.9,38.83,1,1,0,1
163,Smilax Zeylanica leaves,368.42,37.42,9.4,55.26,53.81,76.15,0,0,1,1
164,Smilax Zeylanica leaves,479.41,86.0,8.79,35.19,54.62,36.16,0,1,0,1
165,Smilax Zeylanica leaves,222.32,48.18,2.18,93.76,54.56,69.18,0,0,1,1
166,Smilax Zeylanica leaves,253.38,52.99,1.33,98.19,43.53,9.02,0,1,1,0
167,Smilax Zeylanica leaves,736.9,59.68,4.35,27.29,44.52,14.74,1,1,0,0
168,Smilax Zeylanica leaves,648.66,59.94,2.61,58.91,38.79,99.57,1,1,1,0
169,Smilax Zeylanica leaves,651.24,57.89,5.52,59.29,21.19,68.54,1,1,1,0
170,Smilax Zeylanica leaves,459.69,22.41,6.45,70.11,26.17,33.28,0,0,1,0
171,Smilax Zeylanica leaves,575.22,16.84,5.2,54.42,79.6,54.34,1,0,1,1
172,Smilax Zeylanica leaves,312.56,10.28,8.65,26.3,40.06,39.86,0,0,0,0
173,Smilax Zeylanica leaves,372.13,10.44,8.23,41.18,69.04,19.5,0,0,0,1
174,Smilax Zeylanica leaves,331.59,96.8,9.21,32.42,55.67,61.45,0,1,0,1
175,Smilax Zeylanica leaves,747.01,63.97,9.42,31.02,34.53,47.12,1,1,0,0
176,Smilax Zeylanica leaves,274.7,32.83,4.6,4.01,75.61,13.3,0,0,0,1
177,Smilax Zeylanica leaves,797.79,10.71,5.43,31.58,79.8,55.99,1,0,0,1
178,Smilax Zeylanica leaves,777.6,18.92,5.04,74.94,56.04,2.88,1,0,1,1
179,Smilax Zeylanica leaves,655.93,78.25,3.98,98.75,39.81,56.09,1,1,1,0
180,Smilax Zeylanica leaves,200.21,68.91,1.34,44.72,65.95,51.52,0,1,0,1
181,Smilax Zeylanica leaves,612.01,64.87,7.02,65.61,45.55,80.29,1,1,1,0
182,Smilax Zeylanica leaves,716.12,46.5,8.84,44.6,72.06,62.46,1,0,0,1
183,Smilax Zeylanica leaves,418.47,26.19,4.57,94.3,44.5,57.29,0,0,1,0
184,Smilax Zeylanica leaves,677.49,34.29,8.36,55.48,49.19,49.38,1,0,1,0
185,Smilax Zeylanica leaves,392.23,82.58,6.21,79.45,60.8,32.55,0,1,1,1
186,Smilax Zeylanica leaves,422.45,10.47,4.79,10.45,60.73,48.24,0,0,0,1
187,Smilax Zeylanica leaves,609.37,27.75,8.32,98.5,65.33,41.23,1,0,1,1
188,Smilax Zeylanica leaves,595.95,81.09,1.2,51.62,30.3,45.18,1,1,1,0
189,Smilax Zeylanica leaves,375.57,26.83,8.15,35.87,78.16,45.48,0,0,0,1
190,Smilax Zeylanica leaves,291.65,26.01,6.24,7.17,22.86,4.27,0,0,0,0
191,Smilax Zeylanica leaves,564.34,73.25,1.52,34.19,71.12,28.93,1,1,0,1
192,Smilax Zeylanica leaves,729.72,12.64,6.16,46.51,35.17,32.99,1,0,0,0
193,Smilax Zeylanica leaves,769.99,16.07,2.55,37.52,48.91,54.42,1,0,0,0
194,Smilax Zeylanica leaves,362.35,91.02,1.14,47.51,36.05,28.28,0,1,0,0
195,Smilax Zeylanica leaves,262.43,81.56,2.57,80.91,58.65,80.79,0,1,1,1
196,Smilax Zeylanica leaves,258.78,69.87,3.48,47.08,67.08,79.49,0,1,0,1
197,Smilax Zeylanica leaves,698.35,29.26,6.35,97.35,47.9,42.74,1,0,1,0
198,Smilax Zeylanica leaves,437.82,16.92,6.44,16.43,60.06,13.11,0,0,0,1
199,Smilax Zeylanica leaves,703.17,30.15,1.83,24.74,34.22,3.06,1,0,0,0
200,Smilax Zeylanica leaves,579.58,26.39,6.64,85.63,50.69,74.83,1,0,1,1
201,Smilax Zeylanica leaves,405.99,87.02,3.0,2.05,37.61,9.61,0,1,0,0
202,Smilax Zeylanica leaves,524.7,74.26,3.14,29.46,69.53,92.56,1,1,0,1
203,Smilax Zeylanica leaves,783.95,86.13,4.91,93.61,36.21,36.44,1,1,1,0
204,Smilax Zeylanica leaves,298.11,73.88,5.48,28.52,74.2,53.79,0,1,0,1
205,Smilax Zeylanica leaves,211.27,64.75,3.13,59.17,44.02,3.19,0,1,1,0
206,Smilax Zeylanica leaves,520.13,71.81,5.15,27.18,79.78,56.58,1,1,0,1
207,Smilax Zeylanica leaves,640.37,27.24,1.26,57.42,73.9,32.87,1,0,1,1
208,Smilax Zeylanica leaves,487.46,51.63,5.95,30.22,41.77,70.52,0,1,0,0
209,Smilax Zeylanica leaves,721.94,17.37,2.93,75.27,52.74,75.38,1,0,1,1
210,Smilax Zeylanica leaves,455.3,56.82,8.26,26.12,31.76,33.7,0,1,0,0
211,Smilax Zeylanica leaves,798.05,51.27,6.49,82.89,41.36,57.9,1,1,1,0
212,Smilax Zeylanica leaves,487.99,43.29,2.84,10.9,78.81,28.25,0,0,0,1
213,Smilax Zeylanica leaves,439.97,61.84,2.3,82.65,59.76,49.12,0,1,1,1
214,Smilax Zeylanica leaves,655.3,84.08,1.52,9.28,32.83,3.81,1,1,0,0
215,Smilax Zeylanica leaves,450.35,94.0,8.42,16.62,79.57,66.66,0,1,0,1
216,Smilax Zeylanica leaves,392.81,44.43,3.31,43.56,72.95,38.66,0,0,0,1
217,Smilax Zeylanica leaves,538.69,53.57,4.4,37.98,37.59,71.76,1,1,0,0
218,Smilax Zeylanica leaves,521.03,63.7,6.85,4.0,78.38,10.16,1,1,0,1
219,Smilax Zeylanica leaves,499.49,51.67,5.71,88.67,76.1,23.65,0,1,1,1
220,Smilax Zeylanica leaves,265.06,71.4,4.72,63.84,47.89,9.16,0,1,1,0
221,Smilax Zeylanica leaves,770.34,17.25,1.77,73.24,48.24,90.43,1,0,1,0
222,Smilax Zeylanica leaves,201.22,12.39,8.07,21.89,37.18,38.61,0,0,0,0
223,Smilax Zeylanica leaves,219.19,18.02,4.53,90.51,49.3,12.53,0,0,1,0
224,Smilax Zeylanica leaves,577.2,21.2,8.34,24.76,78.76,53.31,1,0,0,1
225,Smilax Zeylanica leaves,317.86,40.51,7.75,57.58,33.29,69.74,0,0,1,0
226,Smilax Zeylanica leaves,510.9,14.06,5.96,17.13,24.02,72.49,1,0,0,0
227,Smilax Zeylanica leaves,285.9,92.48,7.12,41.27,25.62,46.11,0,1,0,0
228,Smilax Zeylanica leaves,601.95,28.42,1.42,37.29,70.49,57.46,1,0,0,1
229,Smilax Zeylanica leaves,661.24,94.03,7.75,87.33,70.39,17.11,1,1,1,1
230,Smilax Zeylanica leaves,263.83,46.85,6.01,45.55,32.24,58.38,0,0,0,0
231,Smilax Zeylanica leaves,508.6,31.35,1.23,49.29,62.81,32.24,1,0,0,1
232,Smilax Zeylanica leaves,344.2,91.4,1.98,16.82,29.79,77.8,0,1,0,0
233,Smilax Zeylanica leaves,458.14,18.52,3.37,64.44,74.02,55.43,0,0,1,1
234,Smilax Zeylanica leaves,696.46,89.92,9.88,32.06,57.48,53.74,1,1,0,1
235,Smilax Zeylanica leaves,484.42,97.77,1.88,73.27,39.13,23.35,0,1,1,0
236,Smilax Zeylanica leaves,668.4,19.41,4.72,83.55,24.98,12.64,1,0,1,0
237,Smilax Zeylanica leaves,207.26,21.44,3.91,95.13,66.09,3.71,0,0,1,1
238,Smilax Zeylanica leaves,247.4,19.46,2.59,22.7,21.0,2.36,0,0,0,0
239,Smilax Zeylanica leaves,567.28,80.81,4.91,61.24,40.84,32.28,1,1,1,0
240,Smilax Zeylanica leaves,338.98,62.25,4.26,37.65,31.31,53.12,0,1,0,0
241,Smilax Zeylanica leaves,321.98,84.47,5.55,70.01,47.14,64.41,0,1,1,0
242,Smilax Zeylanica leaves,664.84,33.52,7.64,86.72,67.49,66.39,1,0,1,1
243,Smilax Zeylanica leaves,637.61,30.88,9.86,69.11,44.48,13.95,1,0,1,0
244,Smilax Zeylanica leaves,657.13,51.18,2.83,80.85,57.88,72.1,1,1,1,1
245,Smilax Zeylanica leaves,447.22,73.89,4.47,41.92,78.01,88.42,0,1,0,1
246,Smilax Zeylanica leaves,777.17,43.81,2.89,24.78,35.22,41.89,1,0,0,0
247,Smilax Zeylanica leaves,643.22,14.74,3.76,14.78,23.88,24.26,1,0,0,0
248,Smilax Zeylanica leaves,248.82,67.68,5.94,14.76,46.66,43.32,0,1,0,0
249,Smilax Zeylanica leaves,617.91,96.83,3.9,42.9,23.38,87.86,1,1,0,0
250,Smilax Zeylanica leaves,742.02,25.56,5.97,70.34,68.13,99.77,1,0,1,1
251,Smilax Zeylanica leaves,562.46,56.3,9.26,24.13,62.41,79.68,1,1,0,1
252,Smilax Zeylanica leaves,559.83,48.69,7.93,44.79,79.21,78.39,1,0,0,1
253,Smilax Zeylanica leaves,225.09,33.14,1.75,74.11,57.33,55.18,0,0,1,1
254,Smilax Zeylanica leaves,768.52,45.22,2.38,13.36,22.95,65.84,1,0,0,0
255,Smilax Zeylanica leaves,663.87,28.73,9.17,63.36,48.06,43.19,1,0,1,0
256,Smilax Zeylanica leaves,433.44,64.41,5.88,99.55,60.28,54.06,0,1,1,1
257,Smilax Zeylanica leaves,488.71,52.1,2.3,22.31,76.14,46.45,0,1,0,1
258,Smilax Zeylanica leaves,436.25,21.3,3.68,93.92,21.04,44.85,0,0,1,0
259,Smilax Zeylanica leaves,560.63,84.55,3.13,35.7,66.01,36.26,1,1,0,1
260,Smilax Zeylanica leaves,792.29,82.57,4.15,29.64,29.9,3.24,1,1,0,0
261,Smilax Zeylanica leaves,565.4,93.83,7.89,9.17,71.56,94.48,1,1,0,1
262,Smilax Zeylanica leaves,581.9,74.4,4.62,97.59,48.61,28.64,1,1,1,0
263,Smilax Zeylanica leaves,373.58,73.9,8.24,58.9,29.6,87.63,0,1,1,0
264,Smilax Zeylanica leaves,271.08,64.99,6.86,13.59,76.45,45.99,0,1,0,1
265,Smilax Zeylanica leaves,740.75,23.57,8.38,56.89,75.88,99.03,1,0,1,1
266,Smilax Zeylanica leaves,319.17,23.9,4.67,72.8,20.61,29.44,0,0,1,0
267,Smilax Zeylanica leaves,274.0,50.23,8.85,24.65,41.71,1.27,0,1,0,0
268,Smilax Zeylanica leaves,390.72,63.85,8.06,82.54,46.64,41.22,0,1,1,0
269,Smilax Zeylanica leaves,601.47,52.93,3.85,26.42,68.14,84.58,1,1,0,1
270,Smilax Zeylanica leaves,410.47,92.38,8.5,53.91,42.86,27.85,0,1,1,0
271,Smilax Zeylanica leaves,670.85,10.88,4.04,49.19,29.78,31.73,1,0,0,0
272,Smilax Zeylanica leaves,732.75,61.5,2.0,35.8,76.94,53.6,1,1,0,1
273,Smilax Zeylanica leaves,726.02,45.55,2.53,31.89,66.56,39.55,1,0,0,1
274,Smilax Zeylanica leaves,459.94,57.58,8.29,41.22,22.08,85.49,0,1,0,0
275,Smilax Zeylanica leaves,740.76,83.81,4.86,26.51,64.16,1.73,1,1,0,1
276,Smilax Zeylanica leaves,468.58,68.11,6.13,20.68,57.32,86.4,0,1,0,1
277,Smilax Zeylanica leaves,344.43,74.54,5.23,76.41,61.87,64.17,0,1,1,1
278,Smilax Zeylanica leaves,609.53,79.3,1.06,5.49,74.01,23.05,1,1,0,1
279,Smilax Zeylanica leaves,739.59,21.14,7.77,23.68,47.2,10.35,1,0,0,0
280,Smilax Zeylanica leaves,685.26,92.24,4.28,15.1,56.82,18.82,1,1,0,1
281,Smilax Zeylanica leaves,546.32,15.59,7.17,62.79,38.0,13.53,1,0,1,0
282,Smilax Zeylanica leaves,218.55,20.98,4.43,38.11,76.16,53.46,0,0,0,1
283,Smilax Zeylanica leaves,268.99,34.44,3.07,82.25,68.86,69.28,0,0,1,1
284,Smilax Zeylanica leaves,428.06,39.3,5.58,37.24,43.15,82.42,0,0,0,0
285,Smilax Zeylanica leaves,381.0,82.39,4.77,95.3,79.73,7.57,0,1,1,1
286,Smilax Zeylanica leaves,640.55,14.61,1.44,1.16,78.84,68.55,1,0,0,1
287,Smilax Zeylanica leaves,556.75,26.68,5.18,19.17,52.31,62.82,1,0,0,1
